Detalle_ID|Factura|Num_Tracking|Categoria|Subcategoria|Producto_ID|Producto|Unidades|Precio_Unitario|Oferta_ID|updated_at
27618|SO49393||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1|13/01/2025
27452|SO49227||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2|13/01/2025
27572|SO49347||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2|13/01/2025
27635|SO49410||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2|13/01/2025
27640|SO49415||Bikes|Road Bikes|88|Road-250 Red, 52|1|2443.35|1|13/01/2025
27409|SO49184||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2|13/01/2025
27469|SO49244||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2|13/01/2025
27485|SO49260||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2|13/01/2025
27504|SO49279||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2|13/01/2025
27539|SO49314||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2|13/01/2025
27548|SO49323||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2|13/01/2025
27617|SO49392||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2|13/01/2025
27439|SO49214||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1|13/01/2025
27443|SO49218||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1|13/01/2025
27463|SO49238||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1|13/01/2025
27595|SO49370||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1|13/01/2025
27616|SO49391||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1|13/01/2025
27413|SO49188||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1|13/01/2025
27538|SO49313||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1|13/01/2025
27417|SO49192||Bikes|Road Bikes|97|Road-550-W Yellow, 44|1|1000.4375|1|13/01/2025
27544|SO49319||Bikes|Road Bikes|97|Road-550-W Yellow, 44|1|1000.4375|1|13/01/2025
27554|SO49329||Bikes|Road Bikes|97|Road-550-W Yellow, 44|1|1000.4375|1|13/01/2025
27574|SO49349||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1|13/01/2025
27614|SO49389||Bikes|Road Bikes|63|Road-650 Black, 60|1|782.99|1|13/01/2025
27420|SO49195||Bikes|Road Bikes|56|Road-650 Red, 58|1|782.99|1|13/01/2025
27513|SO49288||Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2071.4196|1|13/01/2025
27555|SO49330||Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2071.4196|1|13/01/2025
27631|SO49406||Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2071.4196|1|13/01/2025
27594|SO49369||Bikes|Road Bikes|67|Road-650 Black, 52|1|782.99|1|13/01/2025
27649|SO49424||Bikes|Road Bikes|67|Road-650 Black, 52|1|782.99|1|13/01/2025
27535|SO49310||Bikes|Road Bikes|64|Road-650 Black, 62|1|782.99|1|13/01/2025
27605|SO49380||Bikes|Road Bikes|64|Road-650 Black, 62|1|782.99|1|13/01/2025
27425|SO49200||Bikes|Road Bikes|86|Road-250 Red, 44|1|2443.35|1|13/01/2025
27519|SO49294||Bikes|Road Bikes|86|Road-250 Red, 44|1|2443.35|1|13/01/2025
27639|SO49414||Bikes|Road Bikes|86|Road-250 Red, 44|1|2443.35|1|13/01/2025
27644|SO49419||Bikes|Road Bikes|86|Road-250 Red, 44|1|2443.35|1|13/01/2025
27514|SO49289||Bikes|Road Bikes|61|Road-650 Red, 52|1|782.99|1|13/01/2025
27648|SO49423||Bikes|Road Bikes|61|Road-650 Red, 52|1|782.99|1|13/01/2025
27445|SO49220||Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2071.4196|1|13/01/2025
27447|SO49222||Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2071.4196|1|13/01/2025
27465|SO49240||Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2071.4196|1|13/01/2025
27495|SO49270||Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2071.4196|1|13/01/2025
27502|SO49277||Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2071.4196|1|13/01/2025
27533|SO49308||Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2071.4196|1|13/01/2025
27627|SO49402||Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|2071.4196|1|13/01/2025
27434|SO49209||Bikes|Road Bikes|89|Road-250 Red, 58|1|2181.5625|1|13/01/2025
27454|SO49229||Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2071.4196|1|13/01/2025
27523|SO49298||Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2071.4196|1|13/01/2025
27546|SO49321||Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2071.4196|1|13/01/2025
27567|SO49342||Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2071.4196|1|13/01/2025
27568|SO49343||Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2071.4196|1|13/01/2025
27583|SO49358||Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|1|2071.4196|1|13/01/2025
27440|SO49215||Bikes|Road Bikes|58|Road-650 Red, 62|1|782.99|1|13/01/2025
27593|SO49368||Bikes|Road Bikes|58|Road-650 Red, 62|1|782.99|1|13/01/2025
27526|SO49301||Bikes|Road Bikes|92|Road-250 Black, 52|1|2181.5625|1|13/01/2025
27528|SO49303||Bikes|Road Bikes|92|Road-250 Black, 52|1|2181.5625|1|13/01/2025
27459|SO49234||Bikes|Road Bikes|60|Road-650 Red, 48|1|782.99|1|13/01/2025
27576|SO49351||Bikes|Road Bikes|60|Road-650 Red, 48|1|782.99|1|13/01/2025
27651|SO49426||Bikes|Road Bikes|57|Road-650 Red, 60|1|782.99|1|13/01/2025
27487|SO49262||Bikes|Road Bikes|62|Road-650 Black, 58|1|782.99|1|13/01/2025
27599|SO49374||Bikes|Road Bikes|62|Road-650 Black, 58|1|782.99|1|13/01/2025
27471|SO49246||Bikes|Road Bikes|90|Road-250 Black, 44|1|2181.5625|1|13/01/2025
27494|SO49269||Bikes|Road Bikes|90|Road-250 Black, 44|1|2181.5625|1|13/01/2025
27531|SO49306||Bikes|Road Bikes|90|Road-250 Black, 44|1|2181.5625|1|13/01/2025
27659|SO49434||Bikes|Road Bikes|94|Road-550-W Yellow, 38|1|1000.4375|1|13/01/2025
27668|SO49443|80CD-42C1-AB|Components|Wheels|123|LL Road Rear Wheel|1|67.539|1|13/01/2025
27684|SO49447|D17C-4FA5-82|Clothing|Bib-Shorts|153|Men's Bib-Shorts, M|2|53.994|1|13/01/2025
27687|SO49449|5B41-486C-86|Clothing|Gloves|160|Full-Finger Gloves, L|2|22.794|1|13/01/2025
27712|SO49456|1BE7-4469-85|Bikes|Road Bikes|67|Road-650 Black, 52|1|469.794|1|13/01/2025
27713|SO49456|1BE7-4469-85|Clothing|Bib-Shorts|153|Men's Bib-Shorts, M|1|53.994|1|13/01/2025
27714|SO49456|1BE7-4469-85|Accessories|Helmets|5|Sport-100 Helmet, Black|5|20.1865|1|13/01/2025
27715|SO49457|AB73-4D64-A7|Components|Handlebars|106|ML Mountain Handlebars|2|33.7745|1|13/01/2025
27716|SO49458|9D03-461F-97|Components|Wheels|117|HL Road Front Wheel|1|198.036|1|13/01/2025
27725|SO49463|23F8-4A00-AD|Bikes|Mountain Bikes|79|Mountain-200 Black, 38|2|1229.4589|1|13/01/2025
27726|SO49463|23F8-4A00-AD|Accessories|Helmets|5|Sport-100 Helmet, Black|4|20.1865|1|13/01/2025
27839|SO49472|653C-45A9-B1|Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|2|1242.8518|1|13/01/2025
27840|SO49472|653C-45A9-B1|Components|Handlebars|105|LL Mountain Handlebars|2|24.2945|1|13/01/2025
27841|SO49472|653C-45A9-B1|Components|Wheels|122|HL Mountain Rear Wheel|4|196.329|1|13/01/2025
27842|SO49472|653C-45A9-B1|Components|Forks|101|HL Fork|2|137.694|1|13/01/2025
27843|SO49472|653C-45A9-B1|Components|Wheels|112|LL Mountain Front Wheel|1|36.447|1|13/01/2025
27844|SO49472|653C-45A9-B1|Components|Wheels|121|ML Mountain Rear Wheel|2|141.615|1|13/01/2025
27845|SO49472|653C-45A9-B1|Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|2|1242.8518|1|13/01/2025
27846|SO49472|653C-45A9-B1|Components|Headsets|103|ML Headset|4|61.374|1|13/01/2025
27847|SO49472|653C-45A9-B1|Clothing|Gloves|159|Full-Finger Gloves, M|1|22.794|1|13/01/2025
27848|SO49472|653C-45A9-B1|Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|1229.4589|1|13/01/2025
27849|SO49472|653C-45A9-B1|Bikes|Mountain Bikes|80|Mountain-200 Black, 42|2|1229.4589|1|13/01/2025
27850|SO49472|653C-45A9-B1|Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|1|1242.8518|1|13/01/2025
27851|SO49472|653C-45A9-B1|Components|Mountain Frames|129|ML Mountain Frame - Black, 48|3|209.256|1|13/01/2025
27852|SO49472|653C-45A9-B1|Bikes|Mountain Bikes|83|Mountain-300 Black, 40|4|647.994|1|13/01/2025
27972|SO49481|474A-4DD1-9B|Bikes|Mountain Bikes|84|Mountain-300 Black, 44|3|647.994|1|13/01/2025
27973|SO49481|474A-4DD1-9B|Clothing|Jerseys|13|Long-Sleeve Logo Jersey, XL|5|28.8404|1|13/01/2025
27974|SO49481|474A-4DD1-9B|Accessories|Locks|140|Cable Lock|8|15|1|13/01/2025
27975|SO49481|474A-4DD1-9B|Bikes|Mountain Bikes|83|Mountain-300 Black, 40|1|647.994|1|13/01/2025
27976|SO49481|474A-4DD1-9B|Components|Mountain Frames|44|HL Mountain Frame - Black, 38|1|736.1455|1|13/01/2025
27977|SO49481|474A-4DD1-9B|Clothing|Bib-Shorts|152|Men's Bib-Shorts, S|5|53.994|1|13/01/2025
27978|SO49481|474A-4DD1-9B|Clothing|Tights|151|Women's Tights, L|9|44.994|1|13/01/2025
27979|SO49481|474A-4DD1-9B|Components|Forks|101|HL Fork|3|137.694|1|13/01/2025
27980|SO49481|474A-4DD1-9B|Clothing|Caps|9|AWC Logo Cap|5|5.1865|1|13/01/2025
27981|SO49481|474A-4DD1-9B|Clothing|Bib-Shorts|153|Men's Bib-Shorts, M|8|53.994|1|13/01/2025
27982|SO49481|474A-4DD1-9B|Accessories|Helmets|8|Sport-100 Helmet, Blue|6|20.1865|1|13/01/2025
27983|SO49481|474A-4DD1-9B|Components|Mountain Frames|129|ML Mountain Frame - Black, 48|4|209.256|1|13/01/2025
27984|SO49481|474A-4DD1-9B|Clothing|Tights|149|Women's Tights, S|17|41.2445|3|13/01/2025
27985|SO49481|474A-4DD1-9B|Components|Handlebars|106|ML Mountain Handlebars|1|33.7745|1|13/01/2025
27986|SO49481|474A-4DD1-9B|Accessories|Pumps|141|Minipump|6|11.994|1|13/01/2025
27987|SO49481|474A-4DD1-9B|Components|Headsets|103|ML Headset|8|61.374|1|13/01/2025
27988|SO49481|474A-4DD1-9B|Components|Wheels|112|LL Mountain Front Wheel|2|36.447|1|13/01/2025
27989|SO49481|474A-4DD1-9B|Components|Mountain Frames|45|HL Mountain Frame - Silver, 38|2|744.2727|1|13/01/2025
27990|SO49481|474A-4DD1-9B|Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|2|1242.8518|1|13/01/2025
27991|SO49481|474A-4DD1-9B|Clothing|Gloves|156|Half-Finger Gloves, M|10|14.1289|1|13/01/2025
27992|SO49481|474A-4DD1-9B|Clothing|Gloves|160|Full-Finger Gloves, L|6|22.794|1|13/01/2025
27993|SO49481|474A-4DD1-9B|Bikes|Mountain Bikes|79|Mountain-200 Black, 38|4|1229.4589|1|13/01/2025
27994|SO49481|474A-4DD1-9B|Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|2|1242.8518|1|13/01/2025
27995|SO49481|474A-4DD1-9B|Clothing|Jerseys|12|Long-Sleeve Logo Jersey, L|12|27.879|2|13/01/2025
27996|SO49481|474A-4DD1-9B|Accessories|Helmets|4|Sport-100 Helmet, Red|6|20.1865|1|13/01/2025
27997|SO49481|474A-4DD1-9B|Components|Wheels|121|ML Mountain Rear Wheel|5|141.615|1|13/01/2025
27998|SO49481|474A-4DD1-9B|Clothing|Jerseys|11|Long-Sleeve Logo Jersey, M|8|28.8404|1|13/01/2025
27999|SO49481|474A-4DD1-9B|Components|Mountain Frames|128|ML Mountain Frame - Black, 44|8|209.256|1|13/01/2025
28000|SO49481|474A-4DD1-9B|Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|2|1242.8518|1|13/01/2025
28001|SO49481|474A-4DD1-9B|Components|Handlebars|105|LL Mountain Handlebars|1|24.2945|1|13/01/2025
28002|SO49481|474A-4DD1-9B|Components|Wheels|122|HL Mountain Rear Wheel|8|196.329|1|13/01/2025
28003|SO49481|474A-4DD1-9B|Clothing|Gloves|159|Full-Finger Gloves, M|4|22.794|1|13/01/2025
28004|SO49481|474A-4DD1-9B|Components|Mountain Frames|40|HL Mountain Frame - Black, 42|3|736.1455|1|13/01/2025
28005|SO49481|474A-4DD1-9B|Clothing|Shorts|146|Men's Sports Shorts, M|8|35.994|1|13/01/2025
28006|SO49481|474A-4DD1-9B|Bikes|Mountain Bikes|85|Mountain-300 Black, 48|5|647.994|1|13/01/2025
28007|SO49481|474A-4DD1-9B|Bikes|Mountain Bikes|80|Mountain-200 Black, 42|2|1229.4589|1|13/01/2025
28008|SO49481|474A-4DD1-9B|Components|Mountain Frames|39|HL Mountain Frame - Silver, 46|3|744.2727|1|13/01/2025
28009|SO49481|474A-4DD1-9B|Accessories|Helmets|5|Sport-100 Helmet, Black|5|20.1865|1|13/01/2025
28214|SO49495|A868-43CF-A4|Components|Wheels|121|ML Mountain Rear Wheel|5|141.615|1|13/01/2025
28215|SO49495|A868-43CF-A4|Bikes|Mountain Bikes|78|Mountain-200 Silver, 46|3|1242.8518|1|13/01/2025
28216|SO49495|A868-43CF-A4|Bikes|Mountain Bikes|85|Mountain-300 Black, 48|2|647.994|1|13/01/2025
28217|SO49495|A868-43CF-A4|Bikes|Mountain Bikes|76|Mountain-200 Silver, 38|6|1242.8518|1|13/01/2025
28218|SO49495|A868-43CF-A4|Components|Handlebars|106|ML Mountain Handlebars|1|33.7745|1|13/01/2025
