Detalle_ID|Factura|Num_Tracking|Categoria|Subcategoria|Producto_ID|Producto|Unidades|Precio_Unitario|Oferta_ID|updated_at
27427|SO49202||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1|13/01/2025
27433|SO49208||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1|13/01/2025
27565|SO49340||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1|13/01/2025
27610|SO49385||Bikes|Road Bikes|91|Road-250 Black, 48|1|2181.5625|1|13/01/2025
27669|SO49444|200A-4484-AF|Bikes|Road Bikes|91|Road-250 Black, 48|4|1308.9375|1|13/01/2025
27432|SO49207||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2|13/01/2025
27515|SO49290||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2|13/01/2025
27573|SO49348||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2|13/01/2025
27581|SO49356||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2|13/01/2025
27597|SO49372||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2|13/01/2025
27650|SO49425||Bikes|Road Bikes|87|Road-250 Red, 48|1|2443.35|2|13/01/2025
27408|SO49183||Bikes|Road Bikes|88|Road-250 Red, 52|1|2443.35|1|13/01/2025
27411|SO49186||Bikes|Road Bikes|88|Road-250 Red, 52|1|2443.35|1|13/01/2025
27426|SO49201||Bikes|Road Bikes|88|Road-250 Red, 52|1|2443.35|1|13/01/2025
27621|SO49396||Bikes|Road Bikes|88|Road-250 Red, 52|1|2443.35|1|13/01/2025
27491|SO49266||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2|13/01/2025
27507|SO49282||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2|13/01/2025
27562|SO49337||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2|13/01/2025
27570|SO49345||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2|13/01/2025
27580|SO49355||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2|13/01/2025
27628|SO49403||Bikes|Mountain Bikes|81|Mountain-200 Black, 46|1|2049.0982|2|13/01/2025
27501|SO49276||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1|13/01/2025
27541|SO49316||Bikes|Road Bikes|93|Road-250 Black, 58|1|2181.5625|1|13/01/2025
27430|SO49205||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1|13/01/2025
27449|SO49224||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1|13/01/2025
27503|SO49278||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1|13/01/2025
27518|SO49293||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1|13/01/2025
27522|SO49297||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1|13/01/2025
27556|SO49331||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1|13/01/2025
27585|SO49360||Bikes|Mountain Bikes|79|Mountain-200 Black, 38|1|2049.0982|1|13/01/2025
27525|SO49300||Bikes|Road Bikes|95|Road-550-W Yellow, 40|1|1000.4375|1|13/01/2025
27416|SO49191||Bikes|Road Bikes|97|Road-550-W Yellow, 44|1|1000.4375|1|13/01/2025
27438|SO49213||Bikes|Road Bikes|97|Road-550-W Yellow, 44|1|1000.4375|1|13/01/2025
27473|SO49248||Bikes|Road Bikes|97|Road-550-W Yellow, 44|1|1000.4375|1|13/01/2025
27448|SO49223||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1|13/01/2025
27484|SO49259||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1|13/01/2025
27486|SO49261||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1|13/01/2025
27603|SO49378||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1|13/01/2025
27604|SO49379||Bikes|Mountain Bikes|80|Mountain-200 Black, 42|1|2049.0982|1|13/01/2025
27536|SO49311||Bikes|Road Bikes|63|Road-650 Black, 60|1|782.99|1|13/01/2025
27482|SO49257||Bikes|Road Bikes|56|Road-650 Red, 58|1|782.99|1|13/01/2025
27421|SO49196||Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2071.4196|1|13/01/2025
27558|SO49333||Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2071.4196|1|13/01/2025
27600|SO49375||Bikes|Mountain Bikes|77|Mountain-200 Silver, 42|1|2071.4196|1|13/01/2025
